path edges,path latency,path latency relative,received data,cum received data,path throughput,hop count,path efficiency,path user ratio,switch count,mission data transfer,mission data transfer time
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01990895940548932,0.8947761701220165,10073525174.368992,5298715084868.56,2014705034.8737984,1,0.8947761701220166,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019908794635966544,0.8947752320780382,10073524995.011175,5308788609863.571,2014704999.002235,1,0.8947752320780383,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01990862851668341,0.8947743200796346,10073524816.484882,5318862134680.057,2014704963.2969766,1,0.8947743200796346,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01990846105483271,0.8947734340310646,10073524638.78935,5328935659318.846,2014704927.7578702,1,0.8947734340310646,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019908292257613466,0.8947725738365343,10073524461.923838,5339009183780.77,2014704892.3847675,1,0.8947725738365343,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019908122132230158,0.894771739400212,10073524285.887642,5349082708066.657,2014704857.1775284,1,0.8947717394002122,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019907950685891938,0.8947709306262446,10073524110.680094,5359156232177.338,2014704822.1360188,1,0.8947709306262447,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01990777792581186,0.8947701474187716,10073523936.30055,5369229756113.639,2014704787.2601101,1,0.8947701474187715,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019907603859206098,0.8947693896819402,10073523762.748419,5379303279876.387,2014704752.5496838,1,0.8947693896819402,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019907428493293168,0.8947686573199217,10073523590.02313,5389376803466.409,2014704718.004626,1,0.894768657319922,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019907251835293183,0.8947679502369243,10073523418.124155,5399450326884.534,2014704683.624831,1,0.8947679502369243,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019907073892427067,0.8947672683372094,10073523247.050993,5409523850131.586,2014704649.4101987,1,0.8947672683372092,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019906894671915813,0.8947666115251064,10073523076.803194,5419597373208.389,2014704615.3606389,1,0.8947666115251062,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019906714180979713,0.8947659797050252,10073522907.38033,5429670896115.77,2014704581.4760659,1,0.8947659797050254,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019906532426837598,0.8947653727814752,10073522738.782019,5439744418854.552,2014704547.7564037,1,0.894765372781475,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019906349416706118,0.8947647906590745,10073522571.007912,5449817941425.56,2014704514.2015824,1,0.8947647906590744,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019906165157798972,0.8947642332425685,10073522404.057705,5459891463829.618,2014704480.811541,1,0.8947642332425685,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019905979657326173,0.8947637004368421,10073522237.931128,5469964986067.549,2014704447.5862255,1,0.8947637004368421,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019905792922493327,0.8947631921469341,10073522072.627945,5480038508140.177,2014704414.525589,1,0.894763192146934,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01990560496050087,0.8947627082780525,10073521908.14797,5490112030048.324,2014704381.629594,1,0.8947627082780524,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019905415778543382,0.8947622487355863,10073521744.491045,5500185551792.815,2014704348.898209,1,0.8947622487355865,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019905225383808813,0.8947618134251233,10073521581.657064,5510259073374.472,2014704316.3314128,1,0.8947618134251232,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019905033783477806,0.894761402252459,10073521419.64595,5520332594794.118,2014704283.9291902,1,0.8947614022524589,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019904840984722977,0.8947610151236148,10073521258.45768,5530406116052.575,2014704251.691536,1,0.8947610151236146,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01990464699470818,0.8947606519448482,10073521098.092253,5540479637150.667,2014704219.6184506,1,0.8947606519448481,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019904451820587803,0.8947603126226694,10073520938.549725,5550553158089.217,2014704187.709945,1,0.8947603126226693,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01990425546950612,0.8947599970638526,10073520779.830193,5560626678869.048,2014704155.9660385,1,0.8947599970638527,1.0,,,
